date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交筆數,price:成交金額,foreign_investors_shareholding:全體外資及陸資持股比率,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),RSI,SMA,MACD,CMO,ATR,BBANDS_upper,BBANDS_mid,BBANDS_lower
2025-01-17,122.12755102040815,120.58163265306122,124.18877551020407,120.58163265306122,92.0,7310505.0,1.69,11000.0,0.0,0.0,0.0,52.589813804582384,52.589813804582384,52.589813804582384,52.589813804582384,52.589813804582384,119.0257477676664,116.1,113.17425223233359
2025-01-20,124.70408163265306,122.12755102040815,124.70408163265306,122.12755102040815,168.0,5992060.0,1.7,11000.0,0.0,0.0,0.0,58.957439257434366,58.957439257434366,58.957439257434366,58.957439257434366,58.957439257434366,121.88693797647198,117.3,112.71306202352801
2025-01-21,123.67346938775509,124.70408163265306,124.70408163265306,123.15816326530611,86.0,3484971.0,1.69,-8000.0,0.0,0.0,0.0,55.732938624904925,55.732938624904925,55.732938624904925,55.732938624904925,55.732938624904925,122.36988664825519,118.4,114.43011335174482
2025-01-22,124.18877551020407,124.18877551020407,125.21938775510203,123.15816326530611,84.0,6539088.0,1.68,-4000.0,0.0,-1000.0,0.0,56.999289835966934,56.999289835966934,56.999289835966934,56.999289835966934,56.999289835966934,122.32574776766516,119.4,116.47425223233485
2025-02-03,130.8877551020408,123.15816326530611,130.8877551020408,121.61224489795917,350.0,25878990.0,1.71,21000.0,0.0,-1000.0,0.0,69.29615231051312,69.29615231051312,69.29615231051312,69.29615231051312,69.29615231051312,127.24465567848067,121.4,115.55534432151934
2025-02-04,135.01020408163265,133.97959183673467,136.55612244897958,130.8877551020408,327.0,32633748.0,1.68,-20000.0,0.0,0.0,0.0,74.18798802939747,74.18798802939747,74.18798802939747,74.18798802939747,74.18798802939747,132.62696969170835,123.9,115.17303030829166
2025-02-05,139.64795918367346,135.52551020408163,140.67857142857142,132.43367346938774,783.0,24054013.0,1.66,-21000.0,0.0,-1000.0,0.0,78.36425393089006,78.36425393089006,78.36425393089006,78.36425393089006,78.36425393089006,138.776643937264,126.8,114.82335606273601
2025-02-06,140.16326530612244,139.64795918367346,142.73979591836735,137.58673469387753,402.0,16474138.0,1.66,2000.0,0.0,0.0,0.0,78.77516958590725,78.77516958590725,78.77516958590725,78.77516958590725,78.77516958590725,141.54123043700267,130.0,118.45876956299732
2025-02-07,139.1326530612245,140.16326530612244,140.16326530612244,136.55612244897958,411.0,10500919.0,1.67,0.0,0.0,-226.0,0.0,75.67936889785499,75.67936889785499,75.67936889785499,75.67936889785499,75.67936889785499,139.78186021363416,132.9,126.01813978636586
2025-02-10,144.28571428571428,139.64795918367346,144.80102040816325,139.1326530612245,270.0,25188205.0,1.74,47000.0,0.0,0.0,0.0,79.9270308832836,79.9270308832836,79.9270308832836,79.9270308832836,79.9270308832836,141.2271284253108,135.5,129.7728715746892
